"Author","Degree_13_20","Degree_13_14","Degree_15_16","Degree_17_18","Degree_19_20"
"Delaney_Lothian",4,NA,NA,NA,4
"Deliang_Wang",3,NA,NA,NA,3
"Denis_Mareschal",3,NA,NA,NA,3
"Deniz_Sonmez_Unal",3,NA,NA,NA,3
"Dennis_Lusetich",5,NA,NA,5,NA
"Desmond_Bonner",8,NA,NA,8,NA
"Devendra_Singh_Chaplot",3,NA,NA,3,NA
"Devin_G._Russell",10,NA,10,NA,NA
"Devon_B._Walker",6,NA,NA,6,NA
"Dhavalkumar_Thakker",5,5,NA,NA,NA
"Dhruv_Chand",9,NA,9,NA,NA
"Diana_Pérez-Marín",3,NA,NA,NA,3
"Diane_Halpern",5,5,NA,NA,NA
"Diane_Litman",16,9,NA,6,1
"Diego_Dermeval",16,NA,NA,8,9
"Diego_Zapata-Rivera",9,NA,NA,9,NA
"Dimitrios_Koulouriotis",2,NA,NA,NA,2
"Dimoklis_Despotakis",5,5,NA,NA,NA
"Dinesha_Weragama",1,1,NA,NA,NA
"Dipesh_Gautam",2,NA,NA,2,1
"Dit-Yan_Yeung",1,NA,NA,NA,1
"Divyanshu_Bhartiya",5,5,NA,NA,NA
"Diyi_Yang",5,NA,5,NA,NA
"Dolores_Perin",8,NA,NA,8,NA
"Dominique_Lenne",2,2,NA,NA,NA
"Domitile_Lourdeaux",2,2,NA,NA,NA
"Don_Engel",7,NA,NA,NA,7
"Donald_M._Morrison",6,NA,5,1,NA
"Dongmin_Shin",9,NA,NA,NA,9
"Dongming_Xu",8,NA,NA,NA,8
"Doris_B._Chin",3,NA,NA,3,NA
"Dorothea_Tsatsou",7,NA,NA,7,NA
"Doug_Bonn",7,NA,NA,7,NA
"Douglas_B._Clark",0,0,NA,NA,NA
"Douglas_B._Lenat",1,1,NA,NA,NA
"Douglas_C._Hodge",7,NA,NA,NA,7
"Douglas_Krieghbaum",1,NA,1,NA,NA
"Douglas_Selent",6,NA,6,NA,NA
"Dovan_Rai",10,9,5,NA,NA
"Dragan_Gasevic",11,NA,9,NA,2
"Dragan_Gašević",10,NA,NA,3,8
"Dragan_Gašević",2,NA,NA,2,NA
"Dralia_Tulley-Patton",3,NA,NA,3,NA
"Dulce_Lay",3,NA,3,NA,NA
"Dung_D._Vu",8,NA,NA,NA,8
"Dustin_Tingley",12,NA,NA,12,NA
"Dylan_Arena",2,NA,NA,NA,2
"Dylan_Blaum",7,NA,4,7,NA
"Eda_Okur",6,NA,NA,6,NA
"Edmon_Begoli",3,3,NA,NA,NA
"Eduardo_Guzmán",2,2,1,NA,NA
"Eduardo_Guzmán",3,2,2,NA,NA
"Eduardo_Salas",5,NA,NA,5,NA
"Eduardo_Vidal-Abarca",3,NA,3,NA,NA
"Edward_F._Gehringer",2,NA,NA,2,NA
"Edward_Misback",3,NA,NA,NA,3
"Edwin_Chng",4,NA,NA,NA,4
"Efi_Mantzourani",3,NA,NA,NA,3
"Eiji_Watanabe",2,NA,NA,NA,2
"Ekaterina_Kochmar",8,NA,NA,NA,8
"Elaine_Farrow",5,5,NA,NA,NA
"Elaine_Oliveira",7,NA,NA,NA,7
"Elaine_Wang",4,NA,NA,4,NA
"Eleanor_O’Rourke",3,NA,NA,NA,3
"Eliane_S._Wiese",1,NA,NA,1,NA
"Eliane_Stampfer",1,1,NA,NA,NA
"Eliot_Winer",8,NA,NA,8,NA
"Elisabeth_Andre",9,NA,9,NA,NA
"Elisabeth_André",9,4,5,NA,NA
