,x
Resnick__Mitchel,0
Rets__Irina,0
Rettig__Bjorn,0
Revelle__Matt,0
Rhim__Eunhee,0
Rice__Andrew,0
Riedel.Kruse__Ingmar,0
Riedesel__Mark,0
Riley__Ceri,0
Ritter__Steve,0
Ritter__Steven,0
Rizzardini__Rocael_Hern...a.ndez,0
Robert__Lionel,0
Rodas__Oscar,0
Rogers__Stephanie,0
Rohloff__Tobias,0
Rollmann__Kai.Adrian,0
Rollo__Steven,0
Romero__Crist...o.bal,0
Ros...e.__Carolyn,0
Ros...e.__Carolyn_Penstein,0
Roschelle__Jeremy,0
Rosenstein__Mark,0
Rostamizadeh__Afshin,0
Roussev__Boris,0
Rowland__Duncan,0
Ruiperez.Valiente__Jose_A.,0
Rus__Vasile,0
Russell__Daniel_M.,0
Rutherford__Teomara,0
Saavedra__Ana,0
Sabatini__John,0
Sabourin__Jennifer,0
Sajjadi__Mehdi_S.M.,0
Saltarelli__Andrew_J.,0
Salzmann__Christophe,0
San__Aidan,0
Sanchez.Santillan__Miguel,0
Sanders__Marc,0
Sandilands__Debra,0
Sangameswaran__Satish,0
Santofimia_Ruiz__Javier,0
Santos__Lucas_A.,0
Sassmann__Vojt.v.e.ch,0
Sathi__Rowshan,0
Sauer__Dominic,0
Savage__Timothy,0
Saxberg__Bror,0
Schmal__Ash,0
Schmidt__Philipp,0
Schmidt__Robert_W.,0
Schneider__Emily,0
Schoen__Colin,0
Schulz__Sandra,0
Schutzenhofer__Michael,0
Schwabe__Andrew,0
Schwartz__Dan,0
Scott__Anne.Marie,0
Seanosky__Jeremie,0
Segal__Avi,0
Seltzer__Margo,0
Sengupta__Aparaita,0
Seo__Kyoungwon,0
Seshia__Sanjit_A.,0
Sestakova__Eliska,0
Setia__Sanjeev,0
Settles__Burr,0
Shah__Dhawal,0
Shaik__Najmuddin,0
Shankar__Vaishaal,0
Sharkey__James_P.,0
Sharma__Deepika,0
Sharples__Mike,0
Shen__Hao,0
Sherer__Jennifer,0
Shih__Dai_Ling,0
Shih__Patrick_C.,0
Shillair__Ruth,0
Shimada__Atsushi,0
Shin__Dongmin,0
Shin__Hyungyu,0
Shnayder__Victor,0
Shore__Jesse,0
Shvonski__Alex,0
Sikka__Harsh,0
Simakov__Pavel,0
Simmering__Vanessa,0
Sindhgatta__Renuka,0
Singer__Susan,0
Singh__Arjun,0
Singh__Vivek,0
